category,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Body,Body,Heart,Heart,Heart,Heart,Heart + Lungs,Heart + Lungs,Metabolism,Metabolism,Metabolism,Recovery,Sleep Length,Sleep Length,Sleep Length,Sleep Length,Sleep Length,Sleep Length,Sleep Length,Sleep Length,Sleep Length,Sleep Length,Sleep Length,Sleep Quality,Sleep Vitals,Sleep Vitals
name,Active Time,Activity Distance,Avg Stress Level,High Intensity Activity,Low Intensity Activity,MET Min High Intensity,MET Min Medium Intensity,Max Stress Level,Medium Intensity Activity,Steps,Time Resting,Total Activity,Fitness Age,Weight,Avg Heart Rate,Max Heart Rate,Min Heart Rate,Resting Heart Rate,Blood Oxygenation,VO₂ Max,Active Calories Burned,Resting Calories Burned,Total Calories Burned,Body Battery,Deep Sleep,Deep Sleep Percent,Light Sleep,Light Sleep Percent,REM Sleep,REM Sleep Percent,Sleep End Time,Sleep Start Time,Time Awake,Time in Bed,Total Sleep,Time Awake Percent,Sleep Blood Oxygenation,Sleep Respiratory Rate
units,Minutes,Miles,%,Minutes,Minutes,Minutes,Minutes,%,Minutes,Steps,Minutes,Minutes,Years,Pounds,Beats / min,Beats / min,Beats / min,Beats / min,%,mL/kg/min,Calories,Calories,Calories,%,Hours,%,Hours,%,Hours,%,24-hour time,24-hour time,Hours,Hours,Hours,%,%,Breaths / min
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-03,18.75,0.2889376043903603,24,3.0,353.0,0.0,0.0,81,46.0,568,751.0,402.0,,,71,99,53,59,,,20,2095,2115.0,60.77020202020202,1.4666666666666666,14.332247557003258,6.033333333333333,58.95765472312704,2.7333333333333334,26.710097719869708,10.133333333333333,-0.10000000000000142,0.85,10.233333333333333,10.233333333333333,8.306188925081432,,14.08770167427703
2023-12-04,135.41666666666666,3.9419788435536467,27,37.0,424.0,1.0,1.0,99,115.0,7732,672.0,576.0,,,73,139,50,53,,,449,2095,2544.0,62.08541666666667,0.4166666666666667,4.098360655737705,6.766666666666667,66.55737704918033,2.9833333333333334,29.34426229508197,7.566666666666666,-2.6000000000000014,0.03333333333333333,10.166666666666666,10.166666666666666,0.32786885245901637,,14.494337152209487
2023-12-05,87.85,2.9614551022031335,27,11.0,482.0,0.0,0.0,87,79.0,5809,731.0,572.0,,,72,115,55,59,,,212,2095,2307.0,50.05625,0.65,7.738095238095238,5.7,67.85714285714286,2.05,24.404761904761905,7.283333333333333,-1.1166666666666671,0.016666666666666666,8.4,8.4,0.1984126984126984,,15.158511904761909
2023-12-06,191.16666666666666,11.781197804819852,39,242.0,158.0,78.0,19.0,99,142.0,18001,600.0,542.0,20,,83,189,49,54,,54.0,1609,2095,3704.0,55.09791666666667,0.8666666666666667,9.59409594095941,5.216666666666667,57.7490774907749,2.95,32.656826568265686,8.95,-0.08333333333333215,0.05,9.033333333333333,9.033333333333333,0.5535055350553505,,14.39850000000001
2023-12-07,47.63333333333333,1.0376898910363477,43,87.0,678.0,0.0,0.0,98,329.0,2039,262.0,1094.0,,,78,122,57,60,,,195,2095,2290.0,23.08125,0.6333333333333333,7.786885245901639,5.316666666666666,65.3688524590164,2.183333333333333,26.84426229508197,10.216666666666667,2.0833333333333335,0.1,8.133333333333333,8.133333333333333,1.2295081967213115,,15.003780487804876
2023-12-08,35.8,0.8699196691322675,30,19.0,490.0,0.0,0.0,90,144.0,1709,707.0,653.0,,,72,104,51,57,,,55,2095,2150.0,45.73125,0.21666666666666667,2.9545454545454546,4.833333333333333,65.9090909090909,2.283333333333333,31.136363636363633,9.316666666666666,1.9833333333333334,0.3,7.333333333333333,7.333333333333333,4.090909090909091,,13.940263157894737
2023-12-09,22.25,0.3597739203054164,19,5.0,88.0,0.0,0.0,93,27.0,700,861.0,120.0,,,66,109,54,57,,,58,2095,2153.0,66.28235294117647,0.45,5.103969754253308,5.466666666666667,62.003780718336486,2.9,32.89224952741021,10.3,1.4833333333333334,0.016666666666666666,8.816666666666666,8.816666666666666,0.1890359168241966,,13.918484848484848
2023-12-10,0.0,0.0,-2,,,0.0,0.0,,,0,,,,,,,,,,,0,2095,2095.0,,,,,,,,,,,,,,,
2023-12-11,81.7,4.812519883878151,57,144.0,76.0,34.0,2.0,97,150.0,6622,91.0,370.0,20,,91,184,55,59,,55.0,643,2095,2738.0,29.393034825870647,,,,,,,,,,,,,,
2023-12-12,48.5,0.9550475224687823,32,11.0,423.0,0.0,0.0,87,241.0,1877,703.0,675.0,,,71,104,55,56,,,70,2095,2165.0,21.489583333333332,0.0,0.0,5.066666666666666,70.53364269141531,2.1166666666666667,29.466357308584683,10.866666666666667,3.6833333333333336,0.1,7.183333333333334,7.183333333333334,1.3921113689095126,,15.98125290023202
2023-12-13,69.53333333333333,1.1619641294838146,25,43.0,334.0,4.0,1.0,99,86.0,2197,890.0,463.0,,,70,131,54,57,,,219,2095,2314.0,52.56458333333333,0.7833333333333333,9.494949494949495,5.783333333333333,70.1010101010101,1.6833333333333333,20.404040404040405,12.733333333333333,4.483333333333333,0.0,8.25,8.25,0.0,,15.070485829959516
2023-12-14,62.416666666666664,1.159478644714865,33,77.0,364.0,8.0,2.0,99,202.0,2265,697.0,643.0,,,72,140,51,58,,,256,2095,2351.0,47.81458333333333,0.8833333333333333,11.08786610878661,5.133333333333334,64.43514644351464,1.95,24.476987447698743,11.383333333333333,3.4166666666666665,0.06666666666666667,7.966666666666667,7.966666666666667,0.8368200836820083,,16.920749999999998
2023-12-15,27.75,0.5387288236697685,25,31.0,305.0,0.0,0.0,97,102.0,1039,962.0,438.0,,,68,111,53,55,,,52,2095,2147.0,62.7,0.5,3.95778364116095,8.55,67.67810026385224,3.5833333333333335,28.36411609498681,11.233333333333333,-1.3999999999999986,0.5666666666666667,12.633333333333333,12.633333333333333,4.485488126649076,,14.771024643320343
2023-12-16,28.5,0.6275849041597072,25,12.0,299.0,0.0,0.0,91,127.0,1202,910.0,438.0,,,65,106,49,52,,,36,2095,2131.0,72.87366167023555,1.3666666666666667,12.005856515373353,6.8,59.73645680819912,3.216666666666667,28.257686676427525,8.533333333333333,-2.8500000000000014,0.03333333333333333,11.383333333333333,11.383333333333333,0.29282576866764276,,15.696900311526473
2023-12-17,58.9,1.064408852302553,29,31.0,409.0,0.0,0.0,96,120.0,2066,673.0,560.0,,,70,114,50,54,,,91,1930,2021.0,22.790067720090292,0.0,0.0,2.433333333333333,88.48484848484848,0.31666666666666665,11.515151515151516,1.55,-1.1999999999999993,0.016666666666666666,2.75,2.75,0.6060606060606061,,14.047743902439027
2023-12-18,58.95,3.4156774437286246,54,68.0,58.0,29.0,2.0,92,99.0,5208,62.0,225.0,20,,88,189,53,59,,54.0,432,2095,2527.0,19.078740157480315,,,,,,,,,,,,,,
2023-12-19,7.0,0.11308955698719478,23,5.0,179.0,0.0,0.0,84,67.0,222,574.0,251.0,,,65,100,49,54,,,8,2095,2103.0,41.24912280701754,0.16666666666666666,1.1534025374855825,9.583333333333334,66.32064590542099,4.7,32.52595155709342,12.933333333333334,-1.5166666666666657,0.3333333333333333,14.45,14.45,2.306805074971165,,14.997890535917904
2023-12-20,67.03333333333333,4.78269406665076,30,4.0,60.0,49.0,1.0,90,13.0,8138,95.0,77.0,20,,92,173,55,59,,54.0,553,2095,2648.0,17.9,,,,,,,,,,,,,,
2023-12-21,26.166666666666668,0.6176429650839099,38,63.0,550.0,0.0,0.0,96,296.0,1196,484.0,909.0,,,74,115,55,61,,,93,2095,2188.0,32.3125,0.7166666666666667,10.96938775510204,3.933333333333333,60.204081632653065,1.8833333333333333,28.8265306122449,8.216666666666667,1.6833333333333333,0.03333333333333333,6.533333333333333,6.533333333333333,0.5102040816326531,,15.376666666666654
2023-12-22,71.08333333333333,1.3514823431162013,36,103.0,447.0,0.0,0.0,96,208.0,2642,591.0,758.0,,,74,118,56,58,,,196,2095,2291.0,26.625,0.0,0.0,5.066666666666666,65.51724137931035,2.6666666666666665,34.48275862068966,12.383333333333333,4.65,0.06666666666666667,7.733333333333333,7.733333333333333,0.8620689655172413,,14.27053995680345
2023-12-23,106.9,2.0064075797343515,38,105.0,434.0,0.0,0.0,94,250.0,3906,505.0,789.0,,,76,126,57,58,,,311,2095,2406.0,28.75,0.3,2.941176470588235,6.883333333333334,67.48366013071896,3.0166666666666666,29.575163398692812,12.2,2.0,0.6666666666666666,10.2,10.2,6.535947712418301,,14.34345425867509
2023-12-24,167.63333333333333,2.7750437445319336,30,50.0,300.0,0.0,0.0,93,134.0,5332,717.0,484.0,,,74,113,53,56,,,410,2095,2505.0,40.541666666666664,0.9333333333333333,11.336032388663968,4.066666666666666,49.392712550607285,3.2333333333333334,39.27125506072874,12.766666666666667,4.533333333333333,0.03333333333333333,8.233333333333333,8.233333333333333,0.4048582995951417,,14.65713709677421
2023-12-25,97.73333333333333,2.134410045335242,20,13.0,176.0,0.0,0.0,91,46.0,4133,1067.0,235.0,,,68,106,40,57,,,139,2095,2234.0,53.8375,0.0,0.0,5.6,68.99383983572895,2.5166666666666666,31.006160164271044,8.483333333333333,0.36666666666666664,0.2,8.116666666666667,8.116666666666667,2.4640657084188913,,15.111963190184053
2023-12-26,227.3,8.786188658235902,36,183.0,183.0,53.0,14.0,100,229.0,14173,504.0,595.0,20,,81,191,48,51,,54.0,1356,2095,3451.0,55.7875,0.43333333333333335,4.9523809523809526,6.05,69.14285714285714,2.2666666666666666,25.9047619047619,8.133333333333333,-0.6166666666666671,0.08333333333333333,8.75,8.75,0.9523809523809524,,13.65789272030651
2023-12-27,185.9,3.5461653940984648,42,75.0,562.0,0.0,0.0,92,234.0,6862,218.0,871.0,,,78,115,53,59,,,451,2095,2546.0,5.030501089324619,0.5333333333333333,13.617021276595745,2.95,75.31914893617021,0.43333333333333335,11.063829787234042,6.016666666666667,2.1,0.13333333333333333,3.9166666666666665,3.9166666666666665,3.404255319148936,,14.312499999999996
2023-12-28,61.25,1.2023532569792412,54,235.0,238.0,8.0,7.0,99,268.0,2363,166.0,741.0,,,86,142,56,61,,,631,1446,2077.0,20.352409638554217,0.11666666666666667,1.832460732984293,4.0,62.82722513089005,2.25,35.340314136125656,4.166666666666667,-3.3166666666666664,0.03333333333333333,7.483333333333333,6.366666666666666,0.4454342984409799,,14.807722513088999
2023-12-29,104.78333333333333,7.9777847371351305,51,88.0,76.0,76.0,20.0,99,50.0,11516,88.0,214.0,20,,105,195,66,61,,54.0,1201,2095,3296.0,15.170886075949367,,,,,,,,,,,,,,
2023-12-30,40.583333333333336,0.978659627773801,29,23.0,428.0,0.0,0.0,88,130.0,1915,783.0,581.0,,,71,110,51,57,,,86,2095,2181.0,43.65625,0.9166666666666666,9.12106135986733,7.416666666666667,73.79767827529021,1.7166666666666666,17.081260364842453,9.916666666666666,-0.13333333333333286,0.0,10.05,10.05,0.0,,14.477392026578078
2023-12-31,89.88333333333334,1.5633699196691322,39,180.0,192.0,1.0,0.0,99,309.0,3014,604.0,681.0,,,76,128,48,55,,,550,2095,2645.0,58.177083333333336,0.7333333333333333,8.270676691729323,5.566666666666666,62.78195488721805,2.566666666666667,28.947368421052634,9.833333333333334,0.9666666666666667,0.05,8.866666666666667,8.866666666666667,0.5639097744360901,,13.447786116322714
2024-01-01,88.8,3.3982790503459794,27,53.0,219.0,31.0,4.0,99,115.0,6555,898.0,387.0,,,71,166,54,57,,,513,2089,2602.0,50.583333333333336,0.9333333333333333,8.682170542635658,6.816666666666666,63.410852713178286,3.0,27.906976744186046,12.383333333333333,1.6333333333333333,0.5666666666666667,10.75,10.75,5.271317829457364,,12.813104477611944
2024-01-02,58.88333333333333,1.5757973435138788,28,46.0,318.0,6.0,2.0,99,136.0,2969,798.0,500.0,,,70,152,50,53,,,238,2089,2327.0,60.24375,0.95,10.196779964221825,5.0,53.66726296958855,3.3666666666666667,36.135957066189626,10.783333333333333,1.4666666666666668,0.0,9.316666666666666,9.316666666666666,0.0,,15.524406474820134
2024-01-03,151.0,10.741643800206791,33,148.0,275.0,94.0,4.0,99,117.0,16227,640.0,540.0,20,,80,177,51,54,,54.0,1436,2089,3525.0,54.00625,0.9666666666666667,9.780775716694773,5.85,59.190556492411474,3.066666666666667,31.02866779089376,10.333333333333334,0.45,0.05,9.883333333333333,9.883333333333333,0.5059021922428331,,14.898184873949567
2024-01-04,63.9,1.0687584506482144,41,114.0,656.0,2.0,1.0,99,245.0,2070,272.0,1015.0,,,80,133,60,64,,,359,2089,2448.0,20.4625,0.75,8.670520231213873,4.933333333333334,57.03275529865125,2.966666666666667,34.296724470134876,11.816666666666666,3.1666666666666665,0.016666666666666666,8.65,8.65,0.1926782273603083,,17.26237911025146
2024-01-05,102.58333333333333,7.266314722023383,24,17.0,189.0,55.0,30.0,92,81.0,12300,702.0,287.0,,,76,176,52,56,,,773,2089,2862.0,50.18652849740933,0.0,0.0,7.783333333333333,61.28608923884514,4.916666666666667,38.71391076115486,12.9,0.2,0.4666666666666667,12.7,12.7,3.674540682414698,,15.0099104859335
2024-01-06,43.75,0.956290264853257,33,48.0,529.0,2.0,2.0,99,163.0,1879,594.0,740.0,,,74,141,54,59,,,205,2089,2294.0,27.683333333333334,0.6833333333333333,9.761904761904763,5.666666666666667,80.95238095238095,0.65,9.285714285714286,9.216666666666667,2.216666666666667,0.1,7.0,7.0,1.4285714285714286,,15.49199530516432
2024-01-07,46.75,1.1333810546408971,27,35.0,333.0,0.0,0.0,93,147.0,2227,804.0,515.0,,,69,114,47,51,,,103,2089,2192.0,62.02291666666667,1.2333333333333334,13.653136531365314,4.95,54.79704797047971,2.85,31.54981549815498,7.733333333333333,-1.3000000000000007,0.016666666666666666,9.033333333333333,9.033333333333333,0.18450184501845018,,14.634341372912802
2024-01-08,223.5,6.904055316949018,44,203.0,327.0,31.0,12.0,99,237.0,13953,377.0,767.0,,,82,159,54,57,,,1052,2089,3141.0,40.025,0.8333333333333334,9.803921568627452,5.6,65.88235294117646,2.066666666666667,24.313725490196077,5.366666666666666,-3.133333333333333,0.3,8.5,8.5,3.5294117647058822,,14.34994263862332
2024-01-09,194.86666666666667,6.009902171319494,30,18.0,567.0,0.0,0.0,93,109.0,11810,541.0,694.0,,,75,116,50,56,,,577,2089,2666.0,40.016666666666666,1.1,11.359724612736661,5.916666666666667,61.10154905335629,2.6666666666666665,27.538726333907054,6.483333333333333,-3.1999999999999993,0.06666666666666667,9.683333333333334,9.683333333333334,0.6884681583476765,,15.031772805507744
2024-01-10,184.95,8.285984848484848,43,144.0,437.0,34.0,23.0,99,286.0,13406,314.0,867.0,,,85,198,57,60,,,1104,2089,3193.0,29.970833333333335,0.5666666666666667,7.083333333333333,5.516666666666667,68.95833333333333,1.9166666666666667,23.958333333333336,7.9,-0.10000000000000142,0.05,8.0,8.0,0.625,,14.747255717255712
2024-01-11,137.16666666666666,3.9214735942098145,35,26.0,712.0,0.0,0.0,93,176.0,7684,368.0,914.0,,,79,118,57,62,,,436,2089,2525.0,23.4875,0.55,6.860706860706861,5.3,66.11226611226611,2.1666666666666665,27.027027027027028,6.666666666666667,-1.3500000000000014,0.2833333333333333,8.016666666666667,8.016666666666667,3.5343035343035343,,16.13496969696971
2024-01-12,199.71666666666667,12.222992722500596,33,57.0,369.0,80.0,0.0,94,180.0,17768,563.0,606.0,20,,82,191,57,60,,54.0,1487,2089,3576.0,39.43958333333333,0.0,0.0,6.183333333333334,64.29809358752166,3.433333333333333,35.70190641247834,9.25,-0.36666666666666714,0.23333333333333334,9.616666666666667,9.616666666666667,2.4263431542461005,,14.517113752122228
2024-01-13,66.16666666666667,1.2359073013600572,31,13.0,563.0,0.0,0.0,91,158.0,2428,626.0,734.0,,,74,110,58,65,,,114,2089,2203.0,27.554166666666667,0.36666666666666664,5.092592592592593,5.366666666666666,74.53703703703704,1.4666666666666666,20.37037037037037,3.5833333333333335,-3.616666666666667,0.4,7.2,7.2,5.555555555555555,,15.501476510067118
2024-01-14,8.75,0.11557504175614411,18,4.0,93.0,0.0,0.0,89,4.0,227,801.0,101.0,,,71,112,55,58,,,15,2089,2104.0,53.88852459016393,0.36666666666666664,4.059040590405904,6.033333333333333,66.78966789667896,2.6333333333333333,29.15129151291513,10.283333333333333,1.25,0.1,9.033333333333333,9.033333333333333,1.107011070110701,,14.819688644688645
2024-01-15,221.15,13.705584387178876,42,216.0,161.0,115.0,32.0,99,255.0,22357,480.0,632.0,,,86,198,53,56,,,1722,2089,3811.0,50.045833333333334,1.05,11.33093525179856,4.966666666666667,53.597122302158276,3.25,35.07194244604317,7.616666666666667,-1.6499999999999986,0.11666666666666667,9.266666666666667,9.266666666666667,1.2589928057553956,,14.780518783542021
2024-01-16,275.9166666666667,7.325966356478167,36,30.0,637.0,109.0,11.0,93,166.0,19274,259.0,833.0,,,83,167,61,64,,,1658,2089,3747.0,15.414583333333333,0.35,4.635761589403973,5.133333333333334,67.99116997792495,2.066666666666667,27.373068432671083,6.166666666666667,-1.3833333333333329,0.05,7.55,7.55,0.6622516556291391,,15.005476718403559
2024-01-17,228.75,11.697312693867811,40,107.0,416.0,70.0,40.0,99,223.0,20872,384.0,746.0,20,,87,181,58,65,,54.0,1585,2089,3674.0,20.74375,0.0,0.0,4.166666666666667,53.304904051172706,3.65,46.695095948827294,7.833333333333333,0.016666666666666666,0.1,7.816666666666666,7.816666666666666,1.279317697228145,,15.863073684210523
2024-01-18,150.5,3.4734649646066966,38,49.0,697.0,0.0,0.0,93,214.0,6793,317.0,960.0,,,80,131,52,62,,,440,2089,2529.0,15.341666666666667,0.0,0.0,5.75,61.71735241502684,3.566666666666667,38.28264758497317,7.116666666666666,-2.1999999999999993,0.016666666666666666,9.316666666666666,9.316666666666666,0.17889087656529518,,15.6302513464991
2024-01-19,119.16666666666667,6.133555038574723,28,31.0,373.0,50.0,17.0,97,90.0,11831,668.0,494.0,20,,78,170,51,59,,54.0,770,2089,2859.0,42.35600907029478,0.4666666666666667,5.323193916349809,5.383333333333334,61.40684410646388,2.9166666666666665,33.26996197718631,9.483333333333333,0.7166666666666667,0.0,8.766666666666667,8.766666666666667,0.0,,15.50051625239006
2024-01-20,164.63333333333333,7.051320289509266,25,7.0,391.0,31.0,26.0,96,42.0,13512,790.0,440.0,,,74,154,55,61,,,707,2089,2796.0,42.53541666666667,0.7666666666666667,8.288288288288289,5.416666666666667,58.55855855855856,3.066666666666667,33.153153153153156,6.083333333333333,-3.166666666666668,0.13333333333333333,9.25,9.25,1.4414414414414414,,14.546283662477574
2024-01-21,61.46666666666667,1.4975045732919747,27,12.0,449.0,0.0,0.0,94,88.0,2907,775.0,549.0,,,71,127,50,60,,,99,2089,2188.0,54.1875,0.4166666666666667,5.3078556263269645,4.35,55.4140127388535,3.0833333333333335,39.27813163481954,9.55,1.7,0.05,7.85,7.85,0.6369426751592357,,13.673361522198734
2024-01-22,137.91666666666666,6.531232601606617,36,105.0,456.0,44.0,9.0,99,179.0,11132,496.0,740.0,,,77,157,49,54,,,795,2089,2884.0,50.04375,1.65,18.333333333333332,5.2,57.77777777777777,2.15,23.88888888888889,7.833333333333333,-1.1666666666666679,0.1,9.0,9.0,1.1111111111111112,,14.900203327171905
2024-01-23,272.18333333333334,13.580067406346933,40,195.0,367.0,74.0,29.0,99,103.0,22033,449.0,665.0,20,,85,189,58,63,,53.0,1704,2089,3793.0,26.789583333333333,0.13333333333333333,1.7094017094017095,4.283333333333333,54.91452991452992,3.3833333333333333,43.376068376068375,6.95,-0.8500000000000014,0.0,7.8,7.8,0.0,,16.09400862068965
2024-01-24,231.1,6.477794679074206,38,80.0,517.0,37.0,35.0,96,179.0,17886,321.0,776.0,,,82,158,55,64,,,1063,2089,3152.0,17.097916666666666,0.36666666666666664,4.731182795698925,4.85,62.58064516129033,2.533333333333333,32.68817204301075,8.9,1.15,0.1,7.75,7.75,1.2903225806451613,,15.434882226980731
2024-01-25,133.6,4.345248747315677,30,25.0,471.0,31.0,49.0,93,114.0,9315,594.0,610.0,,,78,165,52,61,,,587,2089,2676.0,29.658333333333335,0.08333333333333333,1.1961722488038278,4.716666666666667,67.70334928229666,2.1666666666666665,31.100478468899524,7.7,0.7333333333333333,0.11666666666666667,6.966666666666667,6.966666666666667,1.674641148325359,,15.53841232227489
2024-01-26,183.63333333333333,8.315189294520003,29,30.0,469.0,36.0,35.0,93,73.0,13627,602.0,572.0,,,79,198,55,62,,,1003,2089,3092.0,44.30416666666667,0.5666666666666667,6.692913385826772,5.1,60.23622047244095,2.8,33.07086614173229,7.916666666666667,-0.5500000000000007,0.03333333333333333,8.466666666666667,8.466666666666667,0.39370078740157477,,17.281001964636538
2024-01-27,58.983333333333334,1.2762964288554839,25,4.0,455.0,0.0,0.0,81,57.0,2508,819.0,516.0,,,70,111,52,57,,,78,2089,2167.0,50.666666666666664,0.5166666666666667,6.981981981981981,5.166666666666667,69.81981981981981,1.7166666666666666,23.1981981981982,7.833333333333333,0.43333333333333335,0.08333333333333333,7.4,7.4,1.1261261261261262,,15.50046874999999
2024-01-28,20.583333333333332,0.5673118985126859,26,13.0,521.0,0.0,0.0,89,62.0,1115,801.0,596.0,,,69,101,55,58,,,28,2089,2117.0,56.66458333333333,1.5333333333333334,16.19718309859155,5.15,54.401408450704224,2.783333333333333,29.401408450704224,9.683333333333334,0.21666666666666667,0.6333333333333333,9.466666666666667,9.466666666666667,6.690140845070422,,13.651869782971612
2024-01-29,83.83333333333333,2.045553964845303,27,32.0,421.0,0.0,0.0,94,116.0,4020,730.0,569.0,,,71,122,49,55,,,190,2089,2279.0,56.860416666666666,0.16666666666666666,1.5128593040847202,8.166666666666666,74.13010590015129,2.683333333333333,24.357034795763994,8.116666666666667,-2.8999999999999986,0.4,11.016666666666667,11.016666666666667,3.6308623298033282,,14.53962908011868
2024-01-30,142.5,10.59065060049312,38,170.0,93.0,88.0,16.0,99,58.0,15720,460.0,321.0,20,,81,190,52,58,,53.0,1367,2089,3456.0,36.31594202898551,0.7833333333333333,8.348134991119005,6.15,65.54174067495559,2.45,26.1101243339254,8.266666666666667,-1.1166666666666671,0.25,9.383333333333333,9.383333333333333,2.664298401420959,,14.841116928446777
2024-01-31,120.05,2.7619949494949494,31,24.0,500.0,2.0,1.0,97,146.0,5419,610.0,670.0,,,73,135,54,60,,,277,2089,2366.0,27.925,0.0,0.0,5.916666666666667,60.996563573883165,3.783333333333333,39.00343642611684,8.85,-0.8500000000000014,0.26666666666666666,9.7,9.7,2.7491408934707904,,16.035689948892678
2024-02-01,87.0,2.043068480076354,23,38.0,296.0,0.0,0.0,93,41.0,4015,944.0,375.0,,,69,109,48,53,,,160,2089,2249.0,49.333333333333336,1.0333333333333334,13.566739606126916,4.25,55.798687089715536,2.3333333333333335,30.63457330415755,7.666666666666667,0.05,0.03333333333333333,7.616666666666666,7.616666666666666,0.437636761487965,,16.201137855579873
2024-02-02,47.083333333333336,0.9171438797423049,28,45.0,470.0,0.0,0.0,93,90.0,1802,770.0,605.0,,,70,110,52,56,,,76,2089,2165.0,62.675,0.5,7.614213197969544,3.9,59.390862944162436,2.1666666666666665,32.99492385786802,9.116666666666667,2.55,0.05,6.566666666666666,6.566666666666666,0.7614213197969544,,15.195454545454542
2024-02-03,41.2,0.9090660542432196,26,49.0,236.0,0.0,0.0,95,86.0,1786,980.0,371.0,,,68,114,53,58,,,68,2089,2157.0,60.3625,0.8666666666666667,9.811320754716983,5.65,63.96226415094339,2.316666666666667,26.22641509433962,10.016666666666667,1.1833333333333333,0.16666666666666666,8.833333333333334,8.833333333333334,1.8867924528301887,,16.174359925788494
2024-02-04,44.5,0.8811043505925396,21,29.0,144.0,0.0,0.0,93,83.0,1698,1110.0,256.0,,,65,112,49,52,,,84,2089,2173.0,80.38125,1.7333333333333334,18.21366024518389,5.35,56.21716287215411,2.433333333333333,25.569176882662,9.833333333333334,0.31666666666666665,0.21666666666666667,9.516666666666667,9.516666666666667,2.276707530647986,,17.001512027491408
2024-02-05,191.51666666666668,7.8317625069593575,30,53.0,236.0,56.0,7.0,97,133.0,14963,698.0,422.0,20,,74,166,52,54,,53.0,1033,2089,3122.0,57.28541666666667,0.5833333333333334,6.61625708884688,5.016666666666667,56.89981096408317,3.216666666666667,36.48393194706994,8.55,-0.2666666666666657,0.06666666666666667,8.816666666666666,8.816666666666666,0.7561436672967864,,17.79133458646617
